Read_ID	QUERY_LEN	REF_LEN	sDTW score: fwd-strand	sDTW score: rev-strand
192	read_8588acdd-3c28-4ac3-bff0-a1902b1ea40c	2048	48128	282.5	145.125
193	read_85abbc3d-cf23-49b3-a96a-790d1d3d873b	2048	48128	138.25	268.75
194	read_85dd86f4-8cce-4a82-8e91-18f3be2bdabf	2048	48128	1451	1445
195	read_85efee06-781c-47d0-b10a-9ad9247201ac	2048	48128	265.25	134.5
196	read_86abf08e-3669-4f5d-9733-61e1ebdbc5ba	2048	48128	268.25	139.5
197	read_873f32f5-87a4-466e-9444-4fbdd4f4fdc9	2048	48128	106.438	319.75
198	read_87d70d5b-188c-4262-84a6-472cd2d389ab	2048	48128	351.25	214.75
199	read_8980e1f9-533c-4ed6-814d-1683bdcbc47d	2048	48128	277	133.125
200	read_89f0d73d-6875-4d5a-adf2-67a66b6bec36	2048	48128	255.75	150.625
201	read_89f3b60c-c6a6-406d-8a51-0303b81c06e7	2048	48128	197.625	314.75
202	read_8a3042eb-f4ac-4265-8848-29b7f87d027e	2048	48128	337.75	219.5
203	read_8a7e8640-40d8-4038-9786-330f14aff8e7	2048	48128	269	114.125
204	read_8ac4f26b-e9e8-4d78-a6f7-dbc3b1aa5dde	2048	48128	288.5	109.938
205	read_8b2379e0-42a9-48c0-a975-139e56c1e7bd	2048	48128	139.375	276.25
206	read_8bc58f41-c2b1-4072-aa91-60814eeadbc0	2048	48128	305	186.25
207	read_8bda1ef5-aa75-4287-84a3-09dec642bb10	2048	48128	252.625	255.5
208	read_8c652cf6-d611-4322-968d-eb51791c8c11	2048	48128	168.25	308.25
209	read_8c715b16-160a-4842-a7a1-61b4a2740aa8	2048	48128	182.75	292
210	read_8dc35d3c-46c9-48af-b7e8-d8efbb0f4cef	2048	48128	167.5	294
211	read_8e353fb5-b5c5-4fee-b579-ee2cf0f08e3e	2048	48128	176.875	247.625
212	read_8ea01224-2034-4836-913b-c55c83cd9b18	2048	48128	275	158.125
213	read_8f59d218-a81c-470c-b8f5-d857d441df8e	2048	48128	258	147.625
214	read_8f624423-6713-4c87-b46b-c097522de6a9	2048	48128	145.625	272
215	read_8fbacdd7-9865-48b5-b600-21ce83db9192	2048	48128	285.25	120.875
216	read_8fcf8222-3f3f-4f71-ad54-51433e6f6fcd	2048	48128	268.25	216.375
217	read_90af1c8a-c767-4a47-82b6-6b5e57f67e70	2048	48128	297.75	176.625
218	read_90b9ac00-e9e3-4782-8651-2fd98a5016cb	2048	48128	141.375	271.25
219	read_92257d53-a102-4717-a115-540c22e18d82	2048	48128	158.5	296.5
220	read_94053bc8-832b-4f32-bec7-9daf9dac87b6	2048	48128	339.75	132.75
221	read_9424da38-c31b-4a00-b721-9a84708f2f70	2048	48128	298.25	148.5
222	read_958d1dae-38f3-495e-8c53-593cb7353234	2048	48128	144	259.75
223	read_9635c591-4a72-4064-b6b9-a7023fd8db97	2048	48128	157.375	245.75
224	read_96478256-b3c2-401a-b99e-f0337db7aa19	2048	48128	264.5	183.625
225	read_97488a1a-0f3a-4e64-bd53-eb325c794824	2048	48128	98.125	270.5
226	read_9768ce5c-0b2f-4718-a731-d821f9a4dff0	2048	48128	171.375	265.75
227	read_977474af-ffb3-44d1-9b4a-a5531ea0362f	2048	48128	145.375	282
228	read_98bb946d-ad15-494e-b2d8-02d23452fea1	2048	48128	303	178.25
