Read_ID	QUERY_LEN	REF_LEN	sDTW score: fwd-strand	sDTW score: rev-strand
223	read_1e83d511-6001-44e9-8243-e6830486bdff	2048	48128	238.125	239.875
224	read_1eb8bae6-923d-46e8-a909-f030855198ad	2048	48128	265.5	278.25
225	read_1f4bf6ca-72db-44f2-8e40-0db7a32c642a	2048	48128	301.25	318
226	read_1f8d7ec8-ca7e-4e25-9bc5-9e80419f917f	2048	48128	284.75	291.75
227	read_1fa00874-34d3-4257-80ae-ed650e573c96	2048	48128	255.125	252.125
228	read_1fab0d1e-3163-4d21-a48d-ca287f136af9	2048	48128	270.5	284.5
229	read_201b3fd2-4022-4f06-bfce-28f4ad598449	2048	48128	282	275
230	read_202cfc32-0a57-4bd1-bb63-0f57efedc4ea	2048	48128	281.25	280
231	read_202fe63f-d7c7-4513-b3e4-9930c7f80809	2048	48128	257	265.75
232	read_204026f7-e844-4606-ab3e-c3fa38c4f4cb	2048	48128	298.25	301
233	read_205b6ec3-dbab-4361-bb85-7cd76bad90e5	2048	48128	255.625	255.75
234	read_2065bf6f-033b-4fc2-becc-16e8a02d8319	2048	48128	269	287.25
235	read_208b4c31-d85c-428a-8c21-ccd6c272d89f	2048	48128	254.875	254.25
236	read_2098faa9-4d03-4b01-8326-99c4ee84d262	2048	48128	286.5	288.5
237	read_209aa23b-e50a-49cc-82e8-e9b87d6a5fb4	2048	48128	254.875	257.75
238	read_20e65358-0d7f-4624-a802-fd303314428d	2048	48128	243	239.125
239	read_210f3ce8-559c-461e-bb4b-fb41c99a5721	2048	48128	314	320.25
240	read_2160c7a1-a6c2-477a-a1bd-2193236c4f3e	2048	48128	293.25	305.75
241	read_218bf10d-e438-44f8-a4d2-abd2a7f7f08b	2048	48128	274	274
242	read_2198f4ba-f33f-4340-aa2c-11ac73f098a2	2048	48128	272.5	281
243	read_22175c9b-ccf5-4a05-9a96-bd66084d4343	2048	48128	286.25	293
244	read_223bd020-bd09-4f48-a588-f3c993e9acdc	2048	48128	281.25	276.75
245	read_22461852-481e-450a-bd35-fc62bd62ea21	2048	48128	288.5	286.5
246	read_22572b0a-02a3-4ff4-b004-b6f6a8ebf0c6	2048	48128	291	288.75
247	read_227b6495-35dc-473f-b13c-7fb187b996b7	2048	48128	326.75	328.5
248	read_2280dff5-1ab1-4f44-92de-df320e55d664	2048	48128	282.25	272
249	read_2306a61d-4381-487d-8453-146d2fa7b2a1	2048	48128	261.75	274.75
250	read_231ca8cf-39a9-427b-bf8c-8cbaee9af89a	2048	48128	294.5	308.5
251	read_232b836a-235c-4817-a85d-e8ad233c492c	2048	48128	259.5	267.25
252	read_2333df5c-3daf-4871-9c50-825480203c1a	2048	48128	294.5	300
253	read_2375658a-eae1-4c10-8c79-309e917e90a8	2048	48128	295.5	298.75
254	read_2378bc34-3f40-471d-8141-465a6187bf2f	2048	48128	304	305
255	read_2395eb21-253c-4bb9-b951-8ad44e9f9ad3	2048	48128	229.75	253.875
256	read_23a69af8-f323-4c41-a807-3610fca59891	2048	48128	302.5	308.25
257	read_23cb7481-e528-4122-b88e-adcdab0de9a4	2048	48128	266.25	277
258	read_23eed618-ee23-4354-b934-e318921e6eca	2048	48128	286.75	293
